rank,model_3mm,n_features_3mm,model_2mm,n_features_2mm,cv_mae_3mm,cv_mae_2mm,feasible,q2,q0,margin2_GPR3mm,margin2_GPR2mm,margin0_GPR3mm,margin0_GPR2mm,score,f1_2,f1_0,recall_2,precision_2,recall_0,precision_0,overall_accuracy,autopass_rate,replan_rate,manual_rate
134,XGBoost,10,Ridge,15,0.5293,2.7373,True,0.99,0.65,6.0546,15.3867,0.2246,1.4354,0.6457,0.0,0.6457,0.0,,0.5467,0.7885,0.4274,0.0,0.0839,0.9161
135,RandomForest,10,Ridge,5,0.5287,2.6041,True,0.99,0.25,5.9261,16.2508,-0.1952,-1.1467,0.6447,0.0,0.6447,0.0,,0.6533,0.6364,0.4129,0.0,0.1242,0.8758
136,RandomForest,10,Ridge,10,0.5287,2.6627,True,0.99,0.25,5.9261,14.9976,-0.1952,-1.2706,0.6447,0.0,0.6447,0.0,,0.6533,0.6364,0.4129,0.0,0.1242,0.8758
137,RandomForest,10,Ridge,15,0.5287,2.7373,True,0.99,0.25,5.9261,15.3867,-0.1952,-1.3478,0.6447,0.0,0.6447,0.0,,0.6533,0.6364,0.4129,0.0,0.1242,0.8758
138,XGBoost,5,MLP,10,0.5221,2.7967,True,0.9,0.2,0.7797,4.7149,-0.3338,-2.5943,0.6392,0.038,0.6012,0.0194,1.0,0.6533,0.5568,0.4048,0.0097,0.1419,0.8484
139,MLP,15,MLP,15,0.6928,2.8745,True,0.9,0.35,0.9704,4.3503,-0.1688,-1.0535,0.6369,0.055,0.5818,0.029,0.5294,0.64,0.5333,0.3903,0.0274,0.1452,0.8274
140,MLP,5,XGBoost,5,0.6296,2.2867,True,0.85,0.75,0.7481,2.2868,0.4204,1.5026,0.6301,0.0805,0.5496,0.0419,1.0,0.48,0.6429,0.4258,0.021,0.0903,0.8887
141,SVR,15,XGBoost,5,0.604,2.2867,True,0.85,0.75,0.7023,2.2868,0.4253,1.5026,0.6285,0.0862,0.5424,0.0452,0.9333,0.4267,0.7442,0.4339,0.0242,0.0694,0.9065
142,RandomForest,5,MLP,5,0.5325,2.4104,True,0.99,0.15,6.3237,15.5933,-0.4771,-2.9038,0.6277,0.0,0.6277,0.0,,0.7867,0.5221,0.3871,0.0,0.1823,0.8177
143,MLP,15,Ridge,5,0.6928,2.6041,True,0.99,0.65,4.893,16.2508,0.3105,1.3575,0.6232,0.0,0.6232,0.0,,0.5733,0.6825,0.4161,0.0,0.1016,0.8984
144,Ridge,15,RandomForest,15,0.9528,2.1605,True,0.8,0.65,0.7671,1.6032,0.5888,1.2455,0.6229,0.1313,0.4915,0.071,0.88,0.3867,0.6744,0.4339,0.0403,0.0694,0.8903
145,RandomForest,5,MLP,15,0.5325,2.8745,True,0.9,0.15,0.7913,4.3503,-0.4771,-2.9658,0.6185,0.0439,0.5746,0.0226,0.7778,0.6933,0.4906,0.3839,0.0145,0.171,0.8145
146,Ridge,10,RandomForest,10,0.8846,2.1363,True,0.8,0.4,0.7029,1.7425,0.0274,0.0048,0.6171,0.0982,0.519,0.0516,1.0,0.5467,0.494,0.4032,0.0258,0.1339,0.8403
147,RandomForest,5,XGBoost,15,0.5325,2.121,True,0.9,0.25,0.7913,2.6951,-0.2481,-1.1366,0.6151,0.0255,0.5896,0.0129,1.0,0.68,0.5204,0.3919,0.0065,0.1581,0.8355
148,SVR,10,Ridge,5,0.6033,2.6041,True,0.99,0.75,4.1396,16.2508,0.3529,1.8994,0.6129,0.0,0.6129,0.0,,0.5067,0.7755,0.4226,0.0,0.079,0.921
149,RandomForest,5,Ridge,15,0.5325,2.7373,True,0.99,0.25,6.3237,15.3867,-0.2481,-1.3478,0.6127,0.0,0.6127,0.0,,0.7067,0.5408,0.3919,0.0,0.1581,0.8419
150,MLP,5,SVR,15,0.6296,2.1783,True,0.85,0.8,0.7481,2.3998,0.5086,1.9109,0.6119,0.1037,0.5082,0.0548,0.9444,0.4133,0.6596,0.429,0.029,0.0758,0.8952
151,XGBoost,5,XGBoost,15,0.5221,2.121,True,0.99,0.2,6.5611,13.7231,-0.3338,-1.6006,0.6118,0.0,0.6118,0.0,,0.6933,0.5474,0.3935,0.0,0.1532,0.8468
152,RandomForest,5,MLP,10,0.5325,2.7967,True,0.9,0.15,0.7913,4.7149,-0.4771,-3.0937,0.6106,0.0128,0.5978,0.0065,1.0,0.7333,0.5046,0.3839,0.0032,0.1758,0.821
153,MLP,10,Ridge,5,0.6694,2.6041,True,0.99,0.75,4.0299,16.2508,0.4272,1.8994,0.6066,0.0,0.6066,0.0,,0.4933,0.7872,0.4226,0.0,0.0758,0.9242
154,Ridge,15,RandomForest,10,0.9528,2.1363,True,0.8,0.4,0.7671,1.7425,0.0309,0.0048,0.6055,0.0923,0.5132,0.0484,1.0,0.52,0.5065,0.4048,0.0242,0.1242,0.8516
155,MLP,10,MLP,5,0.6694,2.4104,True,0.99,0.85,4.0299,15.5933,0.6239,2.2203,0.6034,0.0,0.6034,0.0,,0.4667,0.8537,0.4258,0.0,0.0661,0.9339
156,XGBoost,5,MLP,5,0.5221,2.4104,True,0.99,0.2,6.5611,15.5933,-0.3338,-2.2756,0.6024,0.0,0.6024,0.0,,0.6667,0.5495,0.3935,0.0,0.1468,0.8532
157,SVR,10,Ridge,15,0.6033,2.7373,True,0.99,0.65,4.1396,15.3867,0.1919,1.4354,0.6015,0.0,0.6015,0.0,,0.5333,0.6897,0.4145,0.0,0.0935,0.9065
158,MLP,5,XGBoost,15,0.6296,2.121,True,0.9,0.9,1.0327,2.6951,0.7626,3.0205,0.5947,0.0064,0.5882,0.0032,1.0,0.4667,0.7955,0.4226,0.0016,0.071,0.9274
159,MLP,15,MLP,5,0.6928,2.4104,True,0.99,0.35,4.893,15.5933,-0.1688,-0.8478,0.5939,0.0,0.5939,0.0,,0.6533,0.5444,0.3919,0.0,0.1452,0.8548
160,MLP,15,MLP,10,0.6928,2.7967,True,0.99,0.4,4.893,14.1719,-0.0979,-0.9123,0.5912,0.0,0.5912,0.0,,0.6267,0.5595,0.3952,0.0,0.1355,0.8645
161,MLP,5,MLP,5,0.6296,2.4104,True,0.9,0.85,1.0327,3.5638,0.619,2.2203,0.5891,0.0128,0.5763,0.0065,1.0,0.4533,0.7907,0.4226,0.0032,0.0694,0.9274
162,SVR,10,MLP,5,0.6033,2.4104,True,0.99,0.8,4.1396,15.5933,0.4364,1.7128,0.5882,0.0,0.5882,0.0,,0.4667,0.7955,0.421,0.0,0.071,0.929
163,SVR,5,XGBoost,15,0.5823,2.121,True,0.9,0.9,1.003,2.6951,0.6316,3.0205,0.5866,0.0128,0.5738,0.0065,1.0,0.4667,0.7447,0.4194,0.0032,0.0758,0.921
164,SVR,10,Ridge,10,0.6033,2.6627,True,0.99,0.65,4.1396,14.9976,0.1919,1.3378,0.5865,0.0,0.5865,0.0,,0.52,0.6724,0.4113,0.0,0.0935,0.9065
165,MLP,10,Ridge,10,0.6694,2.6627,True,0.99,0.55,4.0299,14.9976,0.1556,0.805,0.5857,0.0,0.5857,0.0,,0.5467,0.6308,0.4065,0.0,0.1048,0.8952
166,RandomForest,15,Ridge,5,0.5575,2.6041,True,0.99,0.35,6.2512,16.2508,0.0324,-0.0801,0.5846,0.0,0.5846,0.0,,0.5067,0.6909,0.4129,0.0,0.0887,0.9113
167,RandomForest,15,Ridge,10,0.5575,2.6627,True,0.99,0.35,6.2512,14.9976,0.0324,-0.3879,0.5846,0.0,0.5846,0.0,,0.5067,0.6909,0.4129,0.0,0.0887,0.9113
168,RandomForest,15,Ridge,15,0.5575,2.7373,True,0.99,0.35,6.2512,15.3867,0.0324,-0.2658,0.5846,0.0,0.5846,0.0,,0.5067,0.6909,0.4129,0.0,0.0887,0.9113
169,RandomForest,10,MLP,5,0.5287,2.4104,True,0.9,0.45,0.7553,3.5638,0.0927,-0.1377,0.5836,0.0191,0.5645,0.0097,0.75,0.4667,0.7143,0.4161,0.0065,0.079,0.9145
170,SVR,5,MLP,5,0.5823,2.4104,True,0.99,0.8,4.0803,15.5933,0.3406,1.7128,0.5833,0.0,0.5833,0.0,,0.4667,0.7778,0.4194,0.0,0.0726,0.9274
171,SVR,15,Ridge,5,0.604,2.6041,True,0.99,0.75,4.5371,16.2508,0.4253,1.8994,0.5833,0.0,0.5833,0.0,,0.4667,0.7778,0.4194,0.0,0.0726,0.9274
172,MLP,10,Ridge,15,0.6694,2.7373,True,0.99,0.45,4.0299,15.3867,0.0195,0.3979,0.5793,0.0,0.5793,0.0,,0.56,0.6,0.4016,0.0,0.1129,0.8871
173,MLP,5,Ridge,10,0.6296,2.6627,True,0.99,0.3,3.8404,14.9976,-0.1873,-0.8442,0.5775,0.0,0.5775,0.0,,0.5467,0.6119,0.4032,0.0,0.1081,0.8919
174,MLP,5,Ridge,15,0.6296,2.7373,True,0.99,0.3,3.8404,15.3867,-0.1873,-0.7965,0.5775,0.0,0.5775,0.0,,0.5467,0.6119,0.4032,0.0,0.1081,0.8919
175,MLP,10,XGBoost,15,0.6694,2.121,True,0.99,0.35,4.0299,13.7231,-0.1116,-0.3608,0.5752,0.0,0.5752,0.0,,0.5867,0.5641,0.3952,0.0,0.1258,0.8742
176,XGBoost,5,MLP,15,0.5221,2.8745,True,0.99,0.2,6.5611,15.3717,-0.3338,-2.2688,0.575,0.0,0.575,0.0,,0.6133,0.5412,0.3903,0.0,0.1371,0.8629
177,SVR,15,MLP,5,0.604,2.4104,True,0.99,0.8,4.5371,15.5933,0.5002,1.7128,0.5739,0.0,0.5739,0.0,,0.44,0.825,0.421,0.0,0.0645,0.9355
178,SVR,10,XGBoost,15,0.6033,2.121,True,0.99,0.85,4.1396,13.7231,0.5026,2.4776,0.5738,0.0,0.5738,0.0,,0.4667,0.7447,0.4161,0.0,0.0758,0.9242
179,XGBoost,10,MLP,5,0.5293,2.4104,True,0.99,0.5,6.0546,15.5933,0.0786,0.0303,0.5736,0.0,0.5736,0.0,,0.4933,0.6852,0.4113,0.0,0.0871,0.9129
180,SVR,15,Ridge,10,0.604,2.6627,True,0.99,0.45,4.5371,14.9976,0.0202,0.354,0.5634,0.0,0.5634,0.0,,0.5333,0.597,0.4,0.0,0.1081,0.8919
181,SVR,15,Ridge,15,0.604,2.7373,True,0.99,0.45,4.5371,15.3867,0.0202,0.3979,0.5634,0.0,0.5634,0.0,,0.5333,0.597,0.4,0.0,0.1081,0.8919
182,Ridge,10,SVR,15,0.8846,2.1783,True,0.85,0.85,0.8841,2.3998,1.0259,2.4438,0.5625,0.0625,0.5,0.0323,1.0,0.3467,0.8966,0.4323,0.0161,0.0468,0.9371
183,RandomForest,15,MLP,5,0.5575,2.4104,True,0.99,0.4,6.2512,15.5933,0.0824,-0.3882,0.562,0.0,0.562,0.0,,0.4533,0.7391,0.4145,0.0,0.0742,0.9258
184,Ridge,10,XGBoost,15,0.8846,2.121,True,0.99,0.35,4.6028,13.7231,-0.1392,-0.3608,0.56,0.0,0.56,0.0,,0.6533,0.49,0.3758,0.0,0.1613,0.8387
185,Ridge,5,XGBoost,15,0.9306,2.121,True,0.99,0.3,5.1557,13.7231,-0.1701,-0.7812,0.56,0.0,0.56,0.0,,0.6533,0.49,0.3758,0.0,0.1613,0.8387
186,SVR,15,XGBoost,15,0.604,2.121,True,0.99,0.75,4.5371,13.7231,0.4253,1.738,0.5574,0.0,0.5574,0.0,,0.4533,0.7234,0.4129,0.0,0.0758,0.9242
187,MLP,5,MLP,10,0.6296,2.7967,True,0.9,0.9,1.0327,4.7149,0.7626,3.772,0.5565,0.0255,0.531,0.0129,1.0,0.4,0.7895,0.421,0.0065,0.0613,0.9323
188,MLP,5,Ridge,5,0.6296,2.6041,True,0.99,0.3,3.8404,16.2508,-0.1873,-0.3498,0.5541,0.0,0.5541,0.0,,0.5467,0.5616,0.3935,0.0,0.1177,0.8823
189,SVR,10,MLP,10,0.6033,2.7967,True,0.9,0.9,1.0716,4.7149,0.7245,3.772,0.5456,0.0064,0.5391,0.0032,1.0,0.4133,0.775,0.4161,0.0016,0.0645,0.9339
190,Ridge,10,XGBoost,5,0.8846,2.2867,True,0.85,0.5,0.8841,2.2868,0.2689,0.1749,0.5447,0.0192,0.5255,0.0097,1.0,0.48,0.5806,0.4,0.0048,0.1,0.8952
191,MLP,10,MLP,10,0.6694,2.7967,True,0.99,0.55,4.0299,14.1719,0.1556,0.1757,0.5441,0.0,0.5441,0.0,,0.4933,0.6066,0.4,0.0,0.0984,0.9016
192,Ridge,5,XGBoost,5,0.9306,2.2867,True,0.85,0.5,0.8085,2.2868,0.3236,0.1749,0.5437,0.0064,0.5373,0.0032,1.0,0.48,0.6102,0.4016,0.0016,0.0952,0.9032
193,SVR,15,MLP,10,0.604,2.7967,True,0.99,0.85,4.5371,14.1719,0.6383,2.6998,0.5391,0.0,0.5391,0.0,,0.4133,0.775,0.4145,0.0,0.0645,0.9355
194,Ridge,15,XGBoost,5,0.9528,2.2867,True,0.85,0.4,1.0056,2.2868,0.0309,-0.2691,0.5386,0.0255,0.5132,0.0129,1.0,0.52,0.5065,0.3871,0.0065,0.1242,0.8694
195,Ridge,5,SVR,15,0.9306,2.1783,True,0.85,0.35,0.8085,2.3998,0.0295,-0.4893,0.538,0.0255,0.5125,0.0129,1.0,0.5467,0.4824,0.3806,0.0065,0.1371,0.8565
196,MLP,5,MLP,15,0.6296,2.8745,True,0.9,0.3,1.0327,4.3503,-0.1873,-1.4791,0.5376,0.0128,0.5248,0.0065,1.0,0.4933,0.5606,0.3952,0.0032,0.1065,0.8903
197,SVR,5,Ridge,5,0.5823,2.6041,True,0.99,0.6,4.0803,16.2508,0.1187,1.1258,0.5333,0.0,0.5333,0.0,,0.48,0.6,0.3984,0.0,0.0968,0.9032
198,SVR,5,Ridge,10,0.5823,2.6627,True,0.99,0.55,4.0803,14.9976,0.0912,0.805,0.5333,0.0,0.5333,0.0,,0.48,0.6,0.3984,0.0,0.0968,0.9032
199,SVR,5,Ridge,15,0.5823,2.7373,True,0.99,0.5,4.0803,15.3867,0.0403,0.6267,0.5333,0.0,0.5333,0.0,,0.48,0.6,0.3984,0.0,0.0968,0.9032
200,SVR,5,MLP,10,0.5823,2.7967,True,0.9,0.9,1.003,4.7149,0.6316,3.772,0.5327,0.0064,0.5263,0.0032,1.0,0.4,0.7692,0.4145,0.0016,0.0629,0.9355
201,SVR,5,MLP,15,0.5823,2.8745,True,0.9,0.6,1.003,4.3503,0.1187,0.761,0.5288,0.0127,0.5161,0.0065,0.4,0.4267,0.6531,0.4016,0.0081,0.079,0.9129
202,Ridge,5,MLP,5,0.9306,2.4104,True,0.99,0.5,5.1557,15.5933,0.3236,0.0303,0.5263,0.0,0.5263,0.0,,0.4667,0.6034,0.3984,0.0,0.0935,0.9065
203,Ridge,15,SVR,15,0.9528,2.1783,True,0.85,0.65,1.0056,2.3998,0.5888,1.0802,0.5219,0.0564,0.4655,0.029,1.0,0.36,0.6585,0.4145,0.0145,0.0661,0.9194
204,RandomForest,15,MLP,15,0.5575,2.8745,True,0.99,0.35,6.2512,15.3717,0.0324,-1.0535,0.5197,0.0,0.5197,0.0,,0.44,0.6346,0.4016,0.0,0.0839,0.9161
205,Ridge,10,MLP,10,0.8846,2.7967,True,0.9,0.65,1.1532,4.7149,0.5586,0.921,0.5192,0.0192,0.5,0.0097,1.0,0.3867,0.7073,0.4113,0.0048,0.0661,0.929
206,Ridge,5,Ridge,5,0.9306,2.6041,True,0.99,0.5,5.1557,16.2508,0.3236,0.7161,0.518,0.0,0.518,0.0,,0.48,0.5625,0.3919,0.0,0.1032,0.8968
207,Ridge,5,Ridge,10,0.9306,2.6627,True,0.99,0.5,5.1557,14.9976,0.3236,0.5921,0.518,0.0,0.518,0.0,,0.48,0.5625,0.3919,0.0,0.1032,0.8968
208,Ridge,5,Ridge,15,0.9306,2.7373,True,0.99,0.5,5.1557,15.3867,0.3236,0.6267,0.518,0.0,0.518,0.0,,0.48,0.5625,0.3919,0.0,0.1032,0.8968
209,Ridge,15,XGBoost,15,0.9528,2.121,True,0.99,0.4,5.4327,13.7231,0.0309,-0.0739,0.5166,0.0,0.5166,0.0,,0.52,0.5132,0.3823,0.0,0.1226,0.8774
210,MLP,10,MLP,15,0.6694,2.8745,True,0.99,0.6,4.0299,15.3717,0.234,0.761,0.5161,0.0,0.5161,0.0,,0.4267,0.6531,0.4032,0.0,0.079,0.921
211,Ridge,10,Ridge,5,0.8846,2.6041,True,0.99,0.45,4.6028,16.2508,0.1401,0.4879,0.5161,0.0,0.5161,0.0,,0.5333,0.5,0.379,0.0,0.129,0.871
212,Ridge,10,Ridge,10,0.8846,2.6627,True,0.99,0.45,4.6028,14.9976,0.1401,0.354,0.5161,0.0,0.5161,0.0,,0.5333,0.5,0.379,0.0,0.129,0.871
213,Ridge,10,Ridge,15,0.8846,2.7373,True,0.99,0.45,4.6028,15.3867,0.1401,0.3979,0.5161,0.0,0.5161,0.0,,0.5333,0.5,0.379,0.0,0.129,0.871
214,Ridge,5,MLP,15,0.9306,2.8745,True,0.9,0.5,1.1991,4.3503,0.3236,-0.0071,0.5115,0.0192,0.4923,0.0097,1.0,0.4267,0.5818,0.3984,0.0048,0.0887,0.9065
215,Ridge,15,MLP,10,0.9528,2.7967,True,0.9,0.5,1.325,4.7149,0.2577,-0.1147,0.5087,0.0317,0.4769,0.0161,1.0,0.4133,0.5636,0.3984,0.0081,0.0887,0.9032
216,SVR,15,MLP,15,0.604,2.8745,True,0.99,0.6,4.5371,15.3717,0.2163,0.761,0.5082,0.0,0.5082,0.0,,0.4133,0.6596,0.4032,0.0,0.0758,0.9242
217,Ridge,10,MLP,5,0.8846,2.4104,True,0.99,0.5,4.6028,15.5933,0.2689,0.0303,0.5072,0.0,0.5072,0.0,,0.4667,0.5556,0.3903,0.0,0.1016,0.8984
218,SVR,10,MLP,15,0.6033,2.8745,True,0.99,0.6,4.1396,15.3717,0.1395,0.761,0.5039,0.0,0.5039,0.0,,0.4267,0.6154,0.3984,0.0,0.0839,0.9161
219,Ridge,15,MLP,5,0.9528,2.4104,True,0.99,0.65,5.4327,15.5933,0.5888,0.6792,0.4957,0.0,0.4957,0.0,,0.3867,0.6905,0.4048,0.0,0.0677,0.9323
220,Ridge,15,Ridge,10,0.9528,2.6627,True,0.99,0.65,5.4327,14.9976,0.5888,1.3378,0.4957,0.0,0.4957,0.0,,0.3867,0.6905,0.4048,0.0,0.0677,0.9323
221,Ridge,15,Ridge,15,0.9528,2.7373,True,0.99,0.65,5.4327,15.3867,0.5888,1.4354,0.4957,0.0,0.4957,0.0,,0.3867,0.6905,0.4048,0.0,0.0677,0.9323
222,Ridge,15,Ridge,5,0.9528,2.6041,True,0.99,0.65,5.4327,16.2508,0.5888,1.3575,0.4915,0.0,0.4915,0.0,,0.3867,0.6744,0.4032,0.0,0.0694,0.9306
223,Ridge,5,MLP,10,0.9306,2.7967,True,0.9,0.5,1.1991,4.7149,0.3236,-0.1147,0.4913,0.0064,0.4848,0.0032,1.0,0.4267,0.5614,0.3919,0.0016,0.0919,0.9065
224,Ridge,10,MLP,15,0.8846,2.8745,True,0.99,0.5,4.6028,15.3717,0.2689,-0.0071,0.4885,0.0,0.4885,0.0,,0.4267,0.5714,0.3919,0.0,0.0903,0.9097
225,Ridge,15,MLP,15,0.9528,2.8745,True,0.99,0.5,5.4327,15.3717,0.2577,-0.0071,0.4688,0.0,0.4688,0.0,,0.4,0.566,0.3903,0.0,0.0855,0.9145
