rank,model_3mm,n_features_3mm,model_2mm,n_features_2mm,cv_mae_3mm,cv_mae_2mm,feasible,q2,q0,margin2_GPR3mm,margin2_GPR2mm,margin0_GPR3mm,margin0_GPR2mm,score,f1_2,f1_0,recall_2,precision_2,recall_0,precision_0,overall_accuracy,autopass_rate,replan_rate,manual_rate
43,MLP,15,XGBoost,10,0.6928,2.1723,True,0.75,0.35,0.3742,1.2966,-0.1688,-0.5098,1.0664,0.4519,0.6145,0.3032,0.8868,0.68,0.5604,0.529,0.171,0.1468,0.6823
44,SVR,15,XGBoost,10,0.604,2.1723,True,0.75,0.7,0.2896,1.2966,0.3551,1.1885,1.0539,0.4965,0.5574,0.3452,0.8843,0.4533,0.7234,0.5629,0.1952,0.0758,0.729
45,Ridge,5,XGBoost,10,0.9306,2.1723,True,0.75,0.35,0.3171,1.2966,0.0295,-0.5098,1.0049,0.463,0.5419,0.3129,0.8899,0.56,0.525,0.5226,0.1758,0.129,0.6952
46,Ridge,15,SVR,5,0.9528,2.3159,True,0.7,0.55,0.3641,1.0844,0.354,0.1921,0.9695,0.4933,0.4762,0.3581,0.7929,0.4,0.5882,0.5258,0.2258,0.0823,0.6919
47,RandomForest,15,MLP,10,0.5575,2.7967,True,0.8,0.35,0.2968,2.5943,0.0324,-1.2626,0.9583,0.4071,0.5512,0.2581,0.9639,0.4667,0.6731,0.5323,0.1339,0.0839,0.7823
48,XGBoost,15,RandomForest,5,0.5173,2.1796,True,0.8,0.45,0.2639,1.771,0.0635,0.1533,0.9449,0.3219,0.623,0.1968,0.8841,0.5067,0.8085,0.5113,0.1113,0.0758,0.8129
49,RandomForest,10,RandomForest,5,0.5287,2.1796,True,0.8,0.3,0.2711,1.771,-0.0705,-0.8357,0.9306,0.3263,0.6043,0.2,0.8857,0.56,0.6562,0.4984,0.1129,0.1032,0.7839
50,XGBoost,10,RandomForest,5,0.5293,2.1796,True,0.8,0.65,0.3108,1.771,0.2246,1.0619,0.9076,0.3175,0.5902,0.1935,0.8824,0.48,0.766,0.5032,0.1097,0.0758,0.8145
51,Ridge,10,XGBoost,10,0.8846,2.1723,True,0.75,0.35,0.5317,1.2966,-0.1392,-0.5098,0.9041,0.3618,0.5424,0.2258,0.9091,0.64,0.4706,0.471,0.1242,0.1645,0.7113
52,RandomForest,10,RandomForest,15,0.5287,2.1605,True,0.8,0.25,0.2711,1.6032,-0.1952,-1.1033,0.9021,0.2616,0.6405,0.1548,0.8421,0.6533,0.6282,0.4742,0.0919,0.1258,0.7823
53,XGBoost,5,RandomForest,5,0.5221,2.1796,True,0.8,0.15,0.3338,1.771,-0.4424,-2.3419,0.9007,0.3085,0.5922,0.1871,0.8788,0.7067,0.5096,0.4629,0.1065,0.1677,0.7258
54,MLP,10,RandomForest,5,0.6694,2.1796,True,0.8,0.85,0.4644,1.771,0.6239,2.3893,0.8987,0.3175,0.5812,0.1935,0.8824,0.4533,0.8095,0.5048,0.1097,0.0677,0.8226
55,XGBoost,15,RandomForest,15,0.5173,2.1605,True,0.8,0.2,0.2639,1.6032,-0.2639,-1.6032,0.8865,0.2568,0.6296,0.1516,0.8393,0.68,0.5862,0.4645,0.0903,0.1403,0.7694
56,SVR,10,RandomForest,5,0.6033,2.1796,True,0.8,0.85,0.5037,1.771,0.5026,2.3893,0.885,0.3183,0.5667,0.1935,0.8955,0.4533,0.7556,0.5016,0.1081,0.0726,0.8194
57,RandomForest,5,RandomForest,5,0.5325,2.1796,True,0.8,0.2,0.3451,1.771,-0.3451,-1.771,0.8807,0.3175,0.5632,0.1935,0.8824,0.6533,0.4949,0.4613,0.1097,0.1597,0.7306
58,SVR,5,RandomForest,5,0.5823,2.1796,True,0.8,0.75,0.4933,1.771,0.2711,1.51,0.8802,0.3263,0.5538,0.2,0.8857,0.48,0.6545,0.4935,0.1129,0.0887,0.7984
