target,model,n_features,fold,mae_infold_selection,r2_infold_selection,mae_step6,r2_step6,delta_mae,delta_r2,selected_features
GPR3mm,XGBoost,15,23,0.604996,0.484279,0.591187,0.480414,0.01381,0.003866,PA_cm2;AvgFieldSize;ArcCheck;Diff(RadCalc);PTV;AAV;LTMCS;SAS5;AFW;ModFactor;Gan;Rx;Dose;Energy_6;PI
GPR3mm,XGBoost,15,24,0.619781,0.550124,0.592204,0.581222,0.027577,-0.031098,PA_cm2;ArcCheck;AvgFieldSize;Diff(RadCalc);Gan;CTV;LTMCS;SAS5;PMU;AvgEquPathLength;SAS20;AAV;Dose;Energy_6;MU
GPR2mm,SVR,10,0,1.974921,0.747785,1.858648,0.790153,0.116272,-0.042368,LSV;ArcCheck;Gan;PI;ModFactor;LT;CTV;ALPO(RadCalc);AvgEquPathLength;Dose
GPR2mm,SVR,10,1,1.823077,0.493199,1.532647,0.611674,0.290429,-0.118475,ArcCheck;LSV;ModFactor;LT;PI;Gan;Rx;CTV;Diff(RadCalc);EM
GPR2mm,SVR,10,2,2.150625,0.566797,2.091518,0.619928,0.059107,-0.053131,LSV;ArcCheck;AvgFieldSize;Gan;ModFactor;PI;AFW;LT;Dose;PTV
GPR2mm,SVR,10,3,3.353071,0.304848,3.239109,0.423694,0.113963,-0.118846,ArcCheck;PA_cm2;AvgFieldSize;Gan;PI;LTi;Diff(RadCalc);PTV;Rx;AvgEquPathLength
GPR2mm,SVR,10,4,2.456577,0.495715,2.135231,0.617538,0.321346,-0.121823,ArcCheck;LSV;ModFactor;Diff(RadCalc);PI;AFW;CTV;Dose;Gan;AAV
GPR2mm,SVR,10,5,2.037552,0.519229,1.896342,0.561169,0.14121,-0.041939,ArcCheck;LSV;PI;ModFactor;LT;Rx;AFW;Dose;Diff(RadCalc);Gan
GPR2mm,SVR,10,6,3.613621,0.24559,3.239039,0.44107,0.374582,-0.19548,ArcCheck;LSV;PI;AAV;EM;Gan;Energy_10;PTV;ModFactor;Diff(RadCalc)
GPR2mm,SVR,10,7,2.008429,0.724968,2.477404,0.574853,-0.468975,0.150115,ArcCheck;LSV;LT;Gan;PI;Diff(RadCalc);Fx;ModFactor;SAS10;AFW
GPR2mm,SVR,10,8,2.79007,0.535178,2.354293,0.680368,0.435777,-0.14519,ArcCheck;LSV;PI;AvgFieldSize;CTV;LTi;Dose;Gan;ModFactor;SAS10
