comparison,fpr,tpr,threshold_q
class2_vs_rest,0.0,0.0,inf
class2_vs_rest,0.0,0.0032258064516129032,0.9013496413351454
class2_vs_rest,0.0,0.10967741935483871,0.8276130400963578
class2_vs_rest,0.0032258064516129032,0.10967741935483871,0.8271713311904101
class2_vs_rest,0.0032258064516129032,0.12258064516129032,0.8222547034846848
class2_vs_rest,0.0064516129032258064,0.12258064516129032,0.8222443433401669
class2_vs_rest,0.0064516129032258064,0.22258064516129034,0.7898958236411218
class2_vs_rest,0.00967741935483871,0.22258064516129034,0.7898833427394648
class2_vs_rest,0.00967741935483871,0.23870967741935484,0.7891130880759696
class2_vs_rest,0.012903225806451613,0.23870967741935484,0.7882308465548844
class2_vs_rest,0.012903225806451613,0.25483870967741934,0.7857732872221348
class2_vs_rest,0.016129032258064516,0.25483870967741934,0.7836612672019397
class2_vs_rest,0.016129032258064516,0.2709677419354839,0.7784519710879415
class2_vs_rest,0.02258064516129032,0.2709677419354839,0.7772659690298439
class2_vs_rest,0.02258064516129032,0.27741935483870966,0.7771094519216319
class2_vs_rest,0.025806451612903226,0.27741935483870966,0.7763771673641008
class2_vs_rest,0.025806451612903226,0.2806451612903226,0.7753336224345466
class2_vs_rest,0.035483870967741936,0.2806451612903226,0.7750116496438191
class2_vs_rest,0.035483870967741936,0.2870967741935484,0.7744330252123732
class2_vs_rest,0.03870967741935484,0.2870967741935484,0.7739311068533951
class2_vs_rest,0.03870967741935484,0.2903225806451613,0.7719744750468681
class2_vs_rest,0.04516129032258064,0.2903225806451613,0.7703080184626072
class2_vs_rest,0.04516129032258064,0.29354838709677417,0.7696371460312188
class2_vs_rest,0.04838709677419355,0.29354838709677417,0.7693033200986489
class2_vs_rest,0.04838709677419355,0.32903225806451614,0.7414705433522135
class2_vs_rest,0.054838709677419356,0.32903225806451614,0.7393381168503487
class2_vs_rest,0.054838709677419356,0.35161290322580646,0.7339059008177287
class2_vs_rest,0.05806451612903226,0.35161290322580646,0.7337712091396363
class2_vs_rest,0.05806451612903226,0.36129032258064514,0.731222779347493
class2_vs_rest,0.06129032258064516,0.36129032258064514,0.7311033634659849
class2_vs_rest,0.06129032258064516,0.36451612903225805,0.7309171150151537
class2_vs_rest,0.07096774193548387,0.36451612903225805,0.727556132741835
class2_vs_rest,0.07096774193548387,0.36774193548387096,0.7268534493523027
class2_vs_rest,0.07419354838709677,0.36774193548387096,0.726836957685116
class2_vs_rest,0.07419354838709677,0.3870967741935484,0.7258302609336984
class2_vs_rest,0.07741935483870968,0.3870967741935484,0.7255186430057351
class2_vs_rest,0.07741935483870968,0.3903225806451613,0.723323368206622
class2_vs_rest,0.08064516129032258,0.3903225806451613,0.7229328468835834
class2_vs_rest,0.08064516129032258,0.3967741935483871,0.7222774928972667
class2_vs_rest,0.08387096774193549,0.3967741935483871,0.7222308330869633
class2_vs_rest,0.08387096774193549,0.4129032258064516,0.7190024970781526
class2_vs_rest,0.09032258064516129,0.4129032258064516,0.718800914949513
class2_vs_rest,0.09032258064516129,0.4290322580645161,0.7170321874340934
class2_vs_rest,0.0935483870967742,0.4290322580645161,0.7165293738039774
class2_vs_rest,0.0935483870967742,0.43548387096774194,0.7135412905239736
class2_vs_rest,0.0967741935483871,0.43548387096774194,0.7114817314147956
class2_vs_rest,0.0967741935483871,0.44193548387096776,0.710313045776092
class2_vs_rest,0.1,0.44193548387096776,0.7088029363868691
class2_vs_rest,0.1,0.4483870967741935,0.7022566334085324
class2_vs_rest,0.1032258064516129,0.4483870967741935,0.6981240961891939
class2_vs_rest,0.1032258064516129,0.45806451612903226,0.6978165465576929
class2_vs_rest,0.10967741935483871,0.45806451612903226,0.6974835517858182
class2_vs_rest,0.10967741935483871,0.4612903225806452,0.6974218766219432
class2_vs_rest,0.11290322580645161,0.4612903225806452,0.6968814047578082
class2_vs_rest,0.11290322580645161,0.46774193548387094,0.6963861819170228
class2_vs_rest,0.11935483870967742,0.46774193548387094,0.6961677676938295
class2_vs_rest,0.11935483870967742,0.47096774193548385,0.6951658820382688
class2_vs_rest,0.12258064516129032,0.47096774193548385,0.6948269458508598
class2_vs_rest,0.12258064516129032,0.49032258064516127,0.6817521566164819
class2_vs_rest,0.12580645161290321,0.49032258064516127,0.6782618946534347
class2_vs_rest,0.12580645161290321,0.4935483870967742,0.6735228495899226
class2_vs_rest,0.13225806451612904,0.4935483870967742,0.6665618354608819
class2_vs_rest,0.13225806451612904,0.5032258064516129,0.6519524152922185
class2_vs_rest,0.13548387096774195,0.5032258064516129,0.6518928817061016
class2_vs_rest,0.13548387096774195,0.5225806451612903,0.6418706097070535
class2_vs_rest,0.14193548387096774,0.5225806451612903,0.6415058724915224
class2_vs_rest,0.14193548387096774,0.532258064516129,0.6379491338271316
class2_vs_rest,0.14838709677419354,0.532258064516129,0.6323824396917642
class2_vs_rest,0.14838709677419354,0.535483870967742,0.6311046702626204
class2_vs_rest,0.15806451612903225,0.535483870967742,0.6256238198427532
class2_vs_rest,0.15806451612903225,0.5387096774193548,0.6252019386106623
class2_vs_rest,0.16129032258064516,0.5387096774193548,0.6241281818035878
class2_vs_rest,0.16129032258064516,0.5451612903225806,0.6206117777897006
class2_vs_rest,0.16451612903225807,0.5451612903225806,0.6150022043768788
class2_vs_rest,0.16451612903225807,0.5483870967741935,0.6140229443835259
class2_vs_rest,0.16774193548387098,0.5483870967741935,0.611149329608212
class2_vs_rest,0.16774193548387098,0.5580645161290323,0.6099210703106736
class2_vs_rest,0.17419354838709677,0.5580645161290323,0.6091783844665652
class2_vs_rest,0.17419354838709677,0.5645161290322581,0.6062729360592888
class2_vs_rest,0.18064516129032257,0.5645161290322581,0.5961228450189285
class2_vs_rest,0.18064516129032257,0.567741935483871,0.5955534274741339
class2_vs_rest,0.19032258064516128,0.567741935483871,0.5893439970504931
class2_vs_rest,0.19032258064516128,0.5709677419354838,0.5889637678234472
class2_vs_rest,0.1935483870967742,0.5709677419354838,0.5857911512618019
class2_vs_rest,0.1935483870967742,0.6129032258064516,0.5604281435108989
class2_vs_rest,0.1967741935483871,0.6129032258064516,0.5560157340392364
class2_vs_rest,0.1967741935483871,0.6161290322580645,0.555950813293794
