target,model,n_features,r2_mean,r2_std,mae_mean,mae_std,rmse_mean,rmse_std,n_folds
GPR1mm,Dummy,15,-0.0428,0.0521,12.175,1.3178,14.245,1.4518,25
GPR1mm,Ridge,15,0.4164,0.2108,8.34,1.4931,10.5127,2.1664,25
GPR1mm,SVR,15,0.4707,0.1641,7.8551,1.1675,10.0267,1.6811,25
GPR1mm,RandomForest,15,0.5626,0.1486,7.1139,1.3327,9.1375,1.8669,25
GPR1mm,XGBoost,15,0.5313,0.1639,6.9894,1.2864,9.4233,1.9868,25
GPR1mm,MLP,15,-0.1045,0.6121,10.4413,2.1641,14.1763,3.7093,25
GPR1mm,Dummy,31,-0.0428,0.0521,12.175,1.3178,14.245,1.4518,25
GPR1mm,Ridge,31,0.3045,0.3482,8.6115,1.5872,11.3017,2.6093,25
GPR1mm,SVR,31,0.5086,0.1584,7.4225,1.1678,9.6265,1.5607,25
GPR1mm,RandomForest,31,0.5474,0.1671,7.1373,1.2978,9.2413,1.864,25
GPR1mm,XGBoost,31,0.5184,0.1596,7.0495,1.1571,9.5517,1.8858,25
GPR1mm,MLP,31,0.2199,0.2852,9.0706,2.236,12.1584,2.8496,25
