target,model,n_features,fold,r2,mae,rmse,best_params
GPR3mm,SVR,5,6,0.46287360866455085,1.0465768877077597,1.8135034643112884,"{""model__C"": 10, ""model__epsilon"": 0.1, ""model__gamma"": 0.1}"
GPR3mm,SVR,5,7,0.8274983410355443,0.5173375694627265,0.765025246991631,"{""model__C"": 10, ""model__epsilon"": 0.1, ""model__gamma"": ""scale""}"
GPR3mm,SVR,5,8,0.8077703089641511,0.48359021298363414,0.856294886991124,"{""model__C"": 10, ""model__epsilon"": 0.1, ""model__gamma"": ""scale""}"
GPR3mm,SVR,5,9,0.4287144698729485,0.4047763735552567,0.5627931860096379,"{""model__C"": 100, ""model__epsilon"": 0.1, ""model__gamma"": 0.03}"
GPR3mm,SVR,5,10,0.9025009469983751,0.41217395190227196,0.5969039280736443,"{""model__C"": 10, ""model__epsilon"": 0.1, ""model__gamma"": 0.1}"
GPR3mm,SVR,5,11,0.7913904441452144,0.539622712493059,0.9288751923780689,"{""model__C"": 100, ""model__epsilon"": 0.1, ""model__gamma"": 0.03}"
GPR3mm,SVR,5,12,0.39711837340095235,0.7737997485220274,1.2058816207890817,"{""model__C"": 10, ""model__epsilon"": 0.1, ""model__gamma"": 0.1}"
GPR3mm,SVR,5,13,0.38977728415497837,0.6456071759614713,1.4348191299099304,"{""model__C"": 100, ""model__epsilon"": 0.1, ""model__gamma"": 0.1}"
GPR3mm,SVR,5,14,0.7109682813676088,0.5376782543387524,0.7224250484935837,"{""model__C"": 10, ""model__epsilon"": 0.1, ""model__gamma"": 0.1}"
GPR3mm,SVR,5,15,0.789639678856355,0.6127613567104874,1.022527005585584,"{""model__C"": 10, ""model__epsilon"": 0.1, ""model__gamma"": 0.1}"
GPR3mm,SVR,5,16,0.5274168624514357,0.6836795017805827,1.163540255912242,"{""model__C"": 10, ""model__epsilon"": 0.1, ""model__gamma"": ""scale""}"
GPR3mm,SVR,5,17,0.8696978273580815,0.45279975061451805,0.6518257555069408,"{""model__C"": 10, ""model__epsilon"": 0.1, ""model__gamma"": 0.1}"
GPR3mm,SVR,5,18,0.8532724266116694,0.42630400159835574,0.5666950033177751,"{""model__C"": 10, ""model__epsilon"": 0.1, ""model__gamma"": 0.1}"
GPR3mm,SVR,5,19,-0.2692298698299531,0.7557124737722702,1.5738848843815725,"{""model__C"": 10, ""model__epsilon"": 0.1, ""model__gamma"": 0.1}"
GPR3mm,SVR,5,20,0.6743916750764382,0.5979184158032984,0.844167379924094,"{""model__C"": 10, ""model__epsilon"": 0.1, ""model__gamma"": 0.1}"
GPR3mm,SVR,5,21,0.45891687628394884,0.6945647669470703,1.521075749924979,"{""model__C"": 10, ""model__epsilon"": 0.1, ""model__gamma"": 0.1}"
GPR3mm,SVR,5,22,0.8547261168524727,0.5162073432571589,0.6609139032172462,"{""model__C"": 10, ""model__epsilon"": 0.1, ""model__gamma"": ""scale""}"
GPR3mm,SVR,5,23,0.7866009739129654,0.47546096696940937,0.6856478198704576,"{""model__C"": 100, ""model__epsilon"": 0.1, ""model__gamma"": 0.03}"
GPR3mm,SVR,5,24,0.7216297563056128,0.6290959561447101,1.0408820073198175,"{""model__C"": 100, ""model__epsilon"": 0.1, ""model__gamma"": 0.03}"
GPR3mm,RandomForest,5,0,0.78345051946323,0.4551647888506676,0.6785136187501951,"{""max_depth"": 10, ""max_features"": 1.0, ""min_samples_leaf"": 1}"
GPR3mm,RandomForest,5,1,0.5660622311426654,0.3934484177174232,0.4773130452402839,"{""max_depth"": 5, ""max_features"": ""sqrt"", ""min_samples_leaf"": 1}"
GPR3mm,RandomForest,5,2,0.9257337365758547,0.3561271385281776,0.4743435724352657,"{""max_depth"": null, ""max_features"": ""sqrt"", ""min_samples_leaf"": 1}"
GPR3mm,RandomForest,5,3,0.5791827645828762,0.84336626890535,1.5646553450401346,"{""max_depth"": 10, ""max_features"": ""sqrt"", ""min_samples_leaf"": 1}"
GPR3mm,RandomForest,5,4,0.1666825408451882,0.6625361760031053,1.418729858764469,"{""max_depth"": 5, ""max_features"": 1.0, ""min_samples_leaf"": 1}"
GPR3mm,RandomForest,5,5,0.5595675667067747,0.3668898820515909,0.42973428714743755,"{""max_depth"": 10, ""max_features"": ""sqrt"", ""min_samples_leaf"": 1}"
GPR3mm,RandomForest,5,6,0.42760652855321846,1.0030071842115154,1.8720932593314485,"{""max_depth"": 5, ""max_features"": 1.0, ""min_samples_leaf"": 1}"
GPR3mm,RandomForest,5,7,0.8920496892788234,0.3812310764240698,0.6051890731125343,"{""max_depth"": 10, ""max_features"": 1.0, ""min_samples_leaf"": 1}"
GPR3mm,RandomForest,5,8,0.8875302769769058,0.44564922016468644,0.6549843597363915,"{""max_depth"": 10, ""max_features"": ""sqrt"", ""min_samples_leaf"": 1}"
GPR3mm,RandomForest,5,9,0.2352448796340274,0.5111268282754443,0.6511535539707506,"{""max_depth"": 10, ""max_features"": 1.0, ""min_samples_leaf"": 1}"
GPR3mm,RandomForest,5,10,0.9269570586130739,0.4191615653601491,0.5166463493107586,"{""max_depth"": 10, ""max_features"": ""sqrt"", ""min_samples_leaf"": 1}"
GPR3mm,RandomForest,5,11,0.852117126759153,0.48770988095233975,0.7820764436576161,"{""max_depth"": null, ""max_features"": ""sqrt"", ""min_samples_leaf"": 1}"
GPR3mm,RandomForest,5,12,0.2866903336353034,0.7187066737202088,1.3116794254968123,"{""max_depth"": 5, ""max_features"": 1.0, ""min_samples_leaf"": 1}"
GPR3mm,RandomForest,5,13,0.3840707180964764,0.5904233158507958,1.4415124538625372,"{""max_depth"": null, ""max_features"": ""sqrt"", ""min_samples_leaf"": 1}"
GPR3mm,RandomForest,5,14,0.8684127889088844,0.40754413104245363,0.48744641913442477,"{""max_depth"": null, ""max_features"": ""sqrt"", ""min_samples_leaf"": 1}"
GPR3mm,RandomForest,5,15,0.5986126614274879,0.6475412230375803,1.4124552873812137,"{""max_depth"": 10, ""max_features"": 1.0, ""min_samples_leaf"": 1}"
GPR3mm,RandomForest,5,16,0.7650801638414573,0.540173448458649,0.8203556007960693,"{""max_depth"": 5, ""max_features"": ""sqrt"", ""min_samples_leaf"": 1}"
GPR3mm,RandomForest,5,17,0.8938955919708267,0.43552502135478677,0.5881964533031101,"{""max_depth"": 5, ""max_features"": 1.0, ""min_samples_leaf"": 1}"
GPR3mm,RandomForest,5,18,0.8743024922824572,0.42621318787924733,0.5245137156752122,"{""max_depth"": 5, ""max_features"": ""sqrt"", ""min_samples_leaf"": 1}"
GPR3mm,RandomForest,5,19,-0.11258019680646258,0.6671987656258848,1.4735622430357722,"{""max_depth"": 5, ""max_features"": ""sqrt"", ""min_samples_leaf"": 1}"
GPR3mm,RandomForest,5,20,0.868102289318697,0.3457583263797119,0.5372784790516398,"{""max_depth"": 5, ""max_features"": 1.0, ""min_samples_leaf"": 1}"
GPR3mm,RandomForest,5,21,0.4856222519974829,0.6621902739527382,1.48306414239532,"{""max_depth"": 5, ""max_features"": ""sqrt"", ""min_samples_leaf"": 1}"
GPR3mm,RandomForest,5,22,0.8718472217520061,0.45936859259934293,0.6207477129974917,"{""max_depth"": 5, ""max_features"": ""sqrt"", ""min_samples_leaf"": 1}"
GPR3mm,RandomForest,5,23,0.8340993984465441,0.5199133378086662,0.6045453197303129,"{""max_depth"": 5, ""max_features"": ""sqrt"", ""min_samples_leaf"": 1}"
GPR3mm,RandomForest,5,24,0.595853150262349,0.5669912982149127,1.2541794933918828,"{""max_depth"": 5, ""max_features"": 1.0, ""min_samples_leaf"": 1}"
GPR3mm,XGBoost,5,0,0.8373865349014298,0.40403302001953195,0.5879741703375405,"{""learning_rate"": 0.03, ""max_depth"": 3, ""subsample"": 0.7}"
GPR3mm,XGBoost,5,1,0.5012032679468559,0.3586609497070316,0.5117423721458582,"{""learning_rate"": 0.1, ""max_depth"": 2, ""subsample"": 0.7}"
GPR3mm,XGBoost,5,2,0.9461233162729494,0.29767321777343736,0.4040151595265095,"{""learning_rate"": 0.03, ""max_depth"": 3, ""subsample"": 1.0}"
GPR3mm,XGBoost,5,3,0.5344659990995206,0.8355037841796883,1.645688489246562,"{""learning_rate"": 0.03, ""max_depth"": 3, ""subsample"": 0.7}"
GPR3mm,XGBoost,5,4,0.1068538715874735,0.6042496363321946,1.4687765447225958,"{""learning_rate"": 0.1, ""max_depth"": 3, ""subsample"": 1.0}"
GPR3mm,XGBoost,5,5,0.3450279924586517,0.35424639892578,0.5240487981801479,"{""learning_rate"": 0.1, ""max_depth"": 5, ""subsample"": 1.0}"
GPR3mm,XGBoost,5,6,0.4118996079914994,0.9833546752929704,1.8976052715583662,"{""learning_rate"": 0.03, ""max_depth"": 2, ""subsample"": 1.0}"
GPR3mm,XGBoost,5,7,0.8971803688309528,0.35832635498046955,0.5906322414416131,"{""learning_rate"": 0.03, ""max_depth"": 5, ""subsample"": 0.7}"
